Date,Open,High,Low,Close,Volume,Name
3/10/2006,81.03,82.25,81.03,81.57,4787200,IBM
3/13/2006,81.56,82.4,81.45,81.93,4571400,IBM
3/14/2006,81.51,82.99,81.47,82.88,4532700,IBM
3/15/2006,82.65,83.76,82.64,83.38,5370400,IBM
3/16/2006,83.43,83.72,82.61,82.87,4299500,IBM
3/17/2006,83.35,83.41,82.82,83.3,6414500,IBM
3/20/2006,83.11,83.75,82.99,83.58,3870300,IBM
3/21/2006,83.82,84.99,83.58,83.81,7404300,IBM
3/22/2006,83.35,84.68,83.35,84.45,4968600,IBM
3/23/2006,84.23,84.27,82.93,83.2,5105800,IBM
3/24/2006,82.99,83.72,82.99,83.36,4198800,IBM
3/27/2006,82.98,83.26,82.58,83.08,3910100,IBM
3/28/2006,82.86,83.39,82.29,82.43,4508800,IBM
3/29/2006,82.2,83.55,82.2,83.13,4633800,IBM
3/30/2006,82.88,83.7,82.83,83.2,4467000,IBM
3/31/2006,82.95,83.6,82.29,82.47,5862000,IBM
4/3/2006,82.72,83.59,82.65,83.06,4121600,IBM
4/4/2006,83.05,83.78,82.8,83.45,3856200,IBM
4/5/2006,83.33,84.45,83.32,84.17,5523900,IBM
4/6/2006,83.7,84.32,83.36,83.81,4944100,IBM
4/7/2006,83.6,83.8,82.44,82.48,5338300,IBM
4/10/2006,82.27,82.74,82,82.1,3631300,IBM
4/11/2006,81.83,82.06,80.75,81.16,5959700,IBM
4/12/2006,81.1,81.37,80.63,80.75,3905700,IBM
4/13/2006,81.18,82.6,81.12,81.98,4799700,IBM
4/17/2006,81.92,82.92,81.4,81.64,4634200,IBM
4/18/2006,81.89,83.53,81.7,83.31,7919700,IBM
4/19/2006,83.95,84,81.26,81.86,10555200,IBM
4/20/2006,81.65,82.85,81.64,82.02,6237200,IBM
4/21/2006,82.49,82.5,81.38,81.66,6117400,IBM
4/24/2006,81.3,82.41,81.1,82.11,6604100,IBM
4/25/2006,81.95,82.9,81.6,82.67,6857400,IBM
4/26/2006,82.84,83.48,82.71,83.35,6649000,IBM
4/27/2006,82.7,84.4,82.7,83.88,8174300,IBM
4/28/2006,83.51,83.62,81.98,82.34,8201800,IBM
5/1/2006,82.59,83.31,82.1,82.23,6011400,IBM
5/2/2006,82.11,82.74,82,82.42,4337000,IBM
5/3/2006,82.54,83.29,82.45,82.7,5721100,IBM
5/4/2006,82.87,83.09,82.4,82.43,3966900,IBM
5/5/2006,82.95,83.34,82.7,83.28,4504700,IBM
5/8/2006,82.6,83.22,82.3,82.89,3913300,IBM
5/9/2006,82.49,83.29,82.4,83.23,4072800,IBM
5/10/2006,82.9,83.33,82.6,82.9,3430700,IBM
5/11/2006,82.65,83.09,82.45,82.46,5274500,IBM
5/12/2006,82.47,83.69,82.3,82.39,5685700,IBM
5/15/2006,81.8,83.15,81.8,82.89,5778500,IBM
5/16/2006,83,83.25,82.07,82.16,4456300,IBM
5/17/2006,81.75,82.21,81.02,81.27,5936400,IBM
5/18/2006,80.5,81.35,80.03,80.66,5443600,IBM
5/19/2006,80.86,81,79.51,80.28,7019100,IBM
5/22/2006,79.83,80.34,79.4,80.02,6275900,IBM
5/23/2006,80.25,81.3,79.64,79.83,5010300,IBM
5/24/2006,79.35,80.04,79.06,79.78,7389600,IBM
5/25/2006,79.89,80.18,79.65,80.14,3995200,IBM
5/26/2006,80.16,80.86,79.7,80.75,3580800,IBM
5/30/2006,80.35,80.96,80.15,80.16,5049100,IBM
5/31/2006,80.15,80.83,79.61,79.9,6385200,IBM
6/1/2006,79.89,80.87,79.81,80.69,4866500,IBM
6/2/2006,80.5,80.56,79.15,79.52,7233300,IBM
6/5/2006,79.1,80.04,79.01,79.06,5556000,IBM
6/6/2006,79.06,79.9,78.5,79.76,7250900,IBM
